,#,Constituency,State,Candidate,Votes,Votes%,Coalition,Party,Majority,Incumbent,Incumbent_Coalition,Incumbent_Party,Eligible_Voters,Malay_Voters%,Chinese_Voters%,Indian_Voters%,Others_Voters%,Muslim_Bumi_Voters%,Non_Muslim_Bumi_Voters%,Voter_Turnout,Voter_Turnout%,Spoilt_Votes,Spoilt_Votes%
458,P182,Pensiangan,Sabah,Joseph Kurup,9467,44.3,BN,PBRS,1744,Joseph Kurup,BN,PBRS,26194,,1.0,,,12.0,86.0,21379,81.6,483,1.8
459,P182,Pensiangan,Sabah,Richard Sakian Gunting,7723,36.1,PR,PKR,1744,Joseph Kurup,BN,PBRS,26194,,1.0,,,12.0,86.0,21379,81.6,483,1.8
460,P182,Pensiangan,Sabah,Martin Tomy,3554,16.6,,STAR,1744,Joseph Kurup,BN,PBRS,26194,,1.0,,,12.0,86.0,21379,81.6,483,1.8
461,P182,Pensiangan,Sabah,Fatimah Agitor,152,0.7,,IND,1744,Joseph Kurup,BN,PBRS,26194,,1.0,,,12.0,86.0,21379,81.6,483,1.8
462,P183,Beluran,Sabah,James Miki,3186,16.8,PR,PKR,9988,Ronald Kiandee,BN,UMNO,24688,,,,3.0,40.0,56.0,18914,76.6,552,2.2
463,P183,Beluran,Sabah,Raimon Lanjat,1460,7.7,,STAR,9988,Ronald Kiandee,BN,UMNO,24688,,,,3.0,40.0,56.0,18914,76.6,552,2.2
464,P183,Beluran,Sabah,Kamaruddin Mustapha,542,2.9,,IND,9988,Ronald Kiandee,BN,UMNO,24688,,,,3.0,40.0,56.0,18914,76.6,552,2.2
465,P183,Beluran,Sabah,Ronald Kiandee,13174,69.7,BN,UMNO,9988,Ronald Kiandee,BN,UMNO,24688,,,,3.0,40.0,56.0,18914,76.6,552,2.2
466,P184,Libaran,Sabah,Juslie Ajirol,19584,61.2,BN,UMNO,11586,Juslie Ajirol,BN,UMNO,39772,,21.0,,,57.0,15.0,32017,80.5,714,1.8
467,P184,Libaran,Sabah,Mohd Serman Hassnar,7998,25.0,PR,PKR,11586,Juslie Ajirol,BN,UMNO,39772,,21.0,,,57.0,15.0,32017,80.5,714,1.8
468,P184,Libaran,Sabah,Sahar Saka,3219,10.1,,IND,11586,Juslie Ajirol,BN,UMNO,39772,,21.0,,,57.0,15.0,32017,80.5,714,1.8
469,P184,Libaran,Sabah,Rosnah Unsari,502,1.6,,STAR,11586,Juslie Ajirol,BN,UMNO,39772,,21.0,,,57.0,15.0,32017,80.5,714,1.8
470,P185,Batu Sapi,Sabah,Saiful Bahari Rashada Ahmad,410,1.8,,STAR,3798,Linda Tsen Thau Lin,BN,PBS,30199,,33.0,,,51.0,8.0,23356,77.3,574,1.9
471,P185,Batu Sapi,Sabah,Linda Tsen Thau Lin,13085,56.0,BN,PBS,3798,Linda Tsen Thau Lin,BN,PBS,30199,,33.0,,,51.0,8.0,23356,77.3,574,1.9
472,P185,Batu Sapi,Sabah,Hamza A Abdullah,9287,39.8,PR,PAS,3798,Linda Tsen Thau Lin,BN,PBS,30199,,33.0,,,51.0,8.0,23356,77.3,574,1.9
473,P186,Sandakan,Sabah,Stephen Wong Tien Fatt,14226,51.0,PR,DAP,1088,Liew Vui Keong,BN,LDP,37058,,53.0,,,34.0,8.0,27889,75.3,525,1.4
474,P186,Sandakan,Sabah,Liew Vui Keong,13138,47.1,BN,LDP,1088,Liew Vui Keong,BN,LDP,37058,,53.0,,,34.0,8.0,27889,75.3,525,1.4
475,P187,Kinabatangan,Sabah,Bung Moktar Radin,13377,67.0,BN,UMNO,9731,Bung Moktar Radin,BN,UMNO,24748,,,,6.0,42.0,52.0,19960,80.7,654,2.6
476,P187,Kinabatangan,Sabah,Ali Latip Taha,1130,5.7,,IND,9731,Bung Moktar Radin,BN,UMNO,24748,,,,6.0,42.0,52.0,19960,80.7,654,2.6
477,P187,Kinabatangan,Sabah,Yambuya Parantis,1153,5.8,,STAR,9731,Bung Moktar Radin,BN,UMNO,24748,,,,6.0,42.0,52.0,19960,80.7,654,2.6
478,P187,Kinabatangan,Sabah,Abdullah Abdul Sani,3646,18.3,PR,PKR,9731,Bung Moktar Radin,BN,UMNO,24748,,,,6.0,42.0,52.0,19960,80.7,654,2.6
479,P188,Silam,Sabah,Nasrun Mansur,23058,58.2,BN,UMNO,13387,Salleh Kalbi,BN,UMNO,51662,,13.0,,,64.0,13.0,39606,76.7,1077,2.1
480,P188,Silam,Sabah,Apas Saking,841,2.1,,STAR,13387,Salleh Kalbi,BN,UMNO,51662,,13.0,,,64.0,13.0,39606,76.7,1077,2.1
481,P188,Silam,Sabah,Dumi Masdal,4959,12.5,,IND,13387,Salleh Kalbi,BN,UMNO,51662,,13.0,,,64.0,13.0,39606,76.7,1077,2.1
482,P188,Silam,Sabah,Badrulamin Bahron,9671,24.4,PR,PKR,13387,Salleh Kalbi,BN,UMNO,51662,,13.0,,,64.0,13.0,39606,76.7,1077,2.1
483,P189,Semporna,Sabah,Zamree Abdul Habi,4654,14.8,PR,PKR,20905,Mohd Shafie Apdal,BN,UMNO,41549,,2.0,,2.0,96.0,,31523,75.9,985,2.4
484,P189,Semporna,Sabah,Badaruddin Mustapha,325,1.0,,IND,20905,Mohd Shafie Apdal,BN,UMNO,41549,,2.0,,2.0,96.0,,31523,75.9,985,2.4
485,P189,Semporna,Sabah,Mohd Shafie Apdal,25559,81.1,BN,UMNO,20905,Mohd Shafie Apdal,BN,UMNO,41549,,2.0,,2.0,96.0,,31523,75.9,985,2.4
486,P190,Tawau,Sabah,Yap Kain Ching,21331,53.8,BN,PBS,4979,Chua Soon Bui,,SAPP,51538,,38.0,,8.0,50.0,,39658,76.9,789,1.5
487,P190,Tawau,Sabah,Kong Hong Min,16352,41.2,PR,PKR,4979,Chua Soon Bui,,SAPP,51538,,38.0,,8.0,50.0,,39658,76.9,789,1.5
488,P190,Tawau,Sabah,Chua Soon Bui,633,1.6,,SAPP,4979,Chua Soon Bui,,SAPP,51538,,38.0,,8.0,50.0,,39658,76.9,789,1.5
